target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
432,202216,124,11,0 3 5 9 11 16 17 19 21 26 27,0.0009847867522098895,-21436.572126965522,5527
433,202217,124,8,0 3 5 11 16 19 26 27,0.000981895682995573,-21658.615021371494,5555
434,202218,125,0,,0.008604618216667918,-21863.541817287005,5583
435,202219,125,0,,0.0070143701689835926,-22566.816782790404,5612
436,202220,124,2,9 18,0.004500827943387495,-22762.277299890706,5640
437,202221,124,8,0 9 11 17 18 19 26 27,0.0017459593537267513,-22882.15654999679,5668
438,202222,124,6,0 9 17 19 26 27,0.0015365179018150229,-23059.224577870104,5695
439,202223,124,5,0 9 10 19 26,0.0012659909364284216,-22874.345685003686,5722
440,202224,123,6,0 9 10 19 26 27,0.0014155221989672472,-22926.668113183947,5748
441,202225,123,6,0 9 11 19 26 27,0.0013401304454124983,-23034.86727813894,5774
442,202226,123,6,0 5 9 11 19 27,0.0017610377479930614,-23047.911609787745,5799
443,202227,124,10,0 3 5 10 11 19 21 25 26 27,0.0005781771408899666,-23165.683921345557,5824
444,202228,124,2,5 19,0.003965678246365835,-23383.279751835416,5850
445,202229,124,9,5 9 10 11 19 21 25 26 27,0.0010465558195575089,-23604.246988571755,5876
446,202230,124,10,5 6 9 10 11 19 21 25 26 27,0.00103422677213183,-23691.031592197687,5902
447,202231,125,17,0 3 4 5 9 10 11 12 13 15 17 19 21 22 25 26 27,9.773649322771818e-07,-23847.789204756147,5927
448,202232,122,10,0 6 9 10 19 21 22 25 26 27,0.0010596604541064018,-23983.783807781754,5952
449,202233,122,9,0 6 9 10 19 21 22 26 27,0.0010824516599811133,-24209.500296192906,5974
450,202234,128,11,0 3 6 10 14 17 19 22 25 26 27,0.0006619985642304042,-24447.62153185782,5995
451,202235,128,13,0 3 5 9 10 14 17 19 21 22 25 26 27,0.00040707225247783526,-24773.737083216827,6020
452,202236,128,13,0 3 5 9 10 14 17 19 21 22 25 26 27,0.0005903810525472884,-25021.349848545535,6044
