week,cmkt_own,csmb_own,cmom_own,cmkt,csize,cmom
201516,0.043845030722575916,-0.02198607760945398,0.12046898621993887,0.043,-0.147,0.061
201517,-0.03231313294267861,0.05556018592240969,0.09952082039819463,-0.037,0.047,0.098
201518,0.01447732381738138,-0.08749950259436307,0.15839264499960398,0.014,-0.043,0.094
201519,0.021263278573914638,0.5682717969513338,-0.5213994919292751,0.02,0.08,-0.139
201520,-0.00707338995740593,0.5479058104940574,0.3232846034163554,-0.008,0.581,0.708
201521,0.02514123539688082,0.6684090662517723,-0.5930313698830005,0.023,-0.044,0.146
201522,-0.03717176951947824,0.08012025900283049,-0.13954797745979192,-0.038,-0.021,-0.209
201523,0.01566297205452983,0.18312138020803648,0.042171740575108994,0.014,-0.012,0.457
201524,0.11110668622544914,0.4746565988322857,0.1861061379355884,0.11,0.013,-0.037
201525,-0.024280942849832617,-0.02289011056330133,0.04701195005545766,-0.025,-0.049,0.024
201526,0.08080669546067658,0.07011382882318654,0.2076448546203382,0.081,0.017,0.287
201527,0.0511590344752552,0.007295376908944898,0.1015044469663128,0.052,0.01,0.295
201528,0.022287503947230624,0.1345866022276527,-0.17456565040717323,0.025,-0.019,-0.069
201529,-0.03711591811912141,0.020658010328145224,0.04752621241567928,-0.037,-0.016,0.005
201530,0.055462385756740444,-0.01990961883004387,0.1134955104837631,0.056,-0.067,0.106
201531,-0.031091279618632596,-0.04840119753915123,0.035437174514387944,-0.031,-0.041,0.041
201532,-0.053156908794364265,0.014878473274178239,0.021972646367600747,-0.054,-0.044,-0.126
201533,-0.1438819929391273,0.025555021822968177,0.01841463478342175,-0.144,-0.027,0.013
201534,-0.013219456579022456,0.09733195067617981,0.017396803371158696,-0.013,-0.001,-0.029
201535,0.01650821611474055,0.14383147140528577,0.08940548277472535,0.014,0.041,0.009
201536,0.03363819712014078,0.014590849183226243,-0.14638352990858305,0.036,0.016,-0.132
201537,-0.042802792406923806,0.010132781527640036,0.04326179538787553,-0.038,-0.035,-0.029
201538,-0.000667116601267537,0.05153869162032838,0.006827754298397232,-0.001,-0.065,0.09
201539,0.009928528152860655,-0.0070454014776936275,0.13309677541331416,0.009,-0.025,0.099
201540,0.02209039001005946,0.028292807135766283,-0.005441331448778848,0.022,0.036,0.055
201541,0.03172316595886592,-0.0863537226012288,0.07406827045083988,0.031,-0.083,-0.003
201542,0.04131857642827859,-0.029438057428659188,0.014631877848476874,0.041,-0.059,0.03
201543,0.14032325196568737,0.012204514986636772,0.09524925075478106,0.14,0.037,-0.244
201544,0.3300158423357606,-0.16272051942540827,0.16939619289173063,0.33,-0.232,0.279
201545,-0.23957999688613227,0.1269516989721725,-0.0945533356306193,-0.239,0.093,-0.219
201546,0.07526073212890672,0.02424993832647397,0.13443650996019155,0.075,-0.126,-0.02
201547,-0.018268063054097068,0.00025062739001471476,0.003554954496097957,-0.018,0.017,0.059
201548,0.08474846202882184,-0.016777172001932045,0.09999564579799157,0.084,-0.155,-0.001
201549,0.17918681499004993,0.009226578792189799,-0.05961157853603678,0.178,-0.147,-0.126
201550,0.07520858074811894,0.08183045227172316,0.10275021346062709,0.078,0.086,-0.156
201551,-0.030908923250703192,0.33477483926457585,0.01770507691371311,-0.031,0.075,-0.078
201552,-0.023430643143493638,0.30746041917249955,-0.03707456620976094,-0.049,-0.023,-0.051
201601,0.06014160072700237,0.08343922015727939,0.023615718248176418,0.06,-0.069,0.052
201602,-0.05379050374872091,0.2907733353412423,0.38031663187154874,-0.053,-0.019,0.073
201603,-0.04105163321357491,0.15260939428967907,0.15788538558597182,-0.042,0.003,0.196
201604,-0.04545586334165323,0.89624757178641,0.8399117558117009,-0.048,0.029,0.376
201605,0.02457373381688519,0.01763638026223643,-0.028688000848713317,0.023,-0.055,-0.124
201606,0.021596474703446635,0.14310279861655917,0.5873080243684861,0.022,0.0,0.457
201607,0.08186624542269029,0.19626776879381097,-0.1798535637584346,0.088,0.095,-0.198
201608,0.023570569832194552,-0.050477721426847255,0.1436495037949893,0.021,-0.098,0.181
201609,0.02884280981688774,0.015630793946105125,0.22187164335167714,0.03,-0.001,0.275
201610,0.018011723905025697,0.050346898630823686,-0.08732171682057187,0.016,0.025,-0.061
201611,0.0041033271624770305,0.21023163180051818,0.3762150786543229,0.004,0.082,0.186
201612,-0.004856144815306127,0.2089848539781382,-0.005514119962830341,-0.005,-0.002,0.011
201613,-0.0020388488253773804,0.13902427143125634,-0.029186432508553406,-0.002,0.037,-0.089
201614,-0.004076823940325595,0.05120972942001224,-0.018200708113531246,-0.005,0.071,-0.055
201615,-0.01879011520287992,0.20059055752675115,-0.10498037640769886,-0.019,0.089,-0.041
201616,0.05210840210491202,0.09713493873329501,-0.08902945157519966,0.052,0.032,0.069
201617,-0.013291230500927578,-0.015280173579039538,-0.014289156541926085,-0.014,-0.024,-0.026
201618,0.021387288860194476,-0.03947436224858659,-0.17571487019094628,0.024,-0.061,-0.145
201619,0.01415952047148602,-0.016993250944868442,-0.03701790321404259,0.015,-0.008,-0.053
201620,0.01421277959237875,0.00833980240530991,0.14299479781965024,0.015,-0.015,0.158
201621,0.005024719439087008,0.027160159499068796,-0.006085992443355948,0.006,-0.03,0.119
201622,0.1667976440531168,-0.051447913486717456,-0.015308494952912137,0.165,-0.078,0.083
201623,0.06343905437675224,0.08081303350570927,0.07774920219107559,0.064,0.081,0.045
201624,0.332608856208208,-0.007442075829337924,-0.2833535028016547,0.332,-0.053,0.002
201625,-0.2030330668439387,0.11470902985666898,0.07716581210065937,-0.199,0.093,0.137
201626,0.06604815541761873,0.3273298859542595,0.268420121966319,0.065,0.266,0.33
201627,-0.06100106817513362,0.1826021898235158,-0.03964987251463006,-0.063,0.059,0.009
201628,0.060594401974809066,-0.014444240048024047,-0.07350880005306196,0.056,-0.009,0.133
201629,0.016208759039372644,0.1296861177878798,-0.1282142541747195,0.015,0.012,-0.132
201630,-0.01988211284608679,-0.03952151277773259,-0.06606797434542855,-0.02,-0.025,-0.065
201631,-0.11669466880199406,-0.014229992509734293,-0.0461780599601289,-0.117,-0.002,-0.082
201632,0.01571385972749257,0.0783024634190387,0.16069680810825876,0.019,0.052,0.171
201633,-0.024953863442526644,0.11460378484558119,0.06382119912739288,-0.024,0.088,-0.004
201634,0.0038075748458822685,0.04910094213327332,0.008207191816169773,0.004,-0.107,0.025
201635,0.00048108757312311873,0.31561583831046025,0.10030000481133508,-0.001,0.08,0.106
201636,0.07648800840884432,0.20005235385779235,0.3470558114901059,0.077,0.102,0.388
201637,-0.018699006507692458,0.08508342673433619,0.056600685597579914,-0.019,0.04,0.021
201638,-0.012078968770130616,-0.039817345775714316,-0.024519025809009533,-0.011,-0.061,-0.028
201639,0.015026456410627888,0.04174130735043204,0.110459627898197,0.015,0.133,0.099
201640,-0.0006455006045736041,-0.018136962722400195,-0.039119028382412734,-0.001,-0.077,-0.07
201641,0.022201734235336196,0.045444500930991366,0.12336257727101908,0.022,-0.029,0.28
201642,-0.006764277835515495,0.08470087281064625,0.08138518708772959,-0.007,0.048,0.09
201643,0.065927448339558,0.005148992889512816,0.10444198126766772,0.066,-0.099,0.178
201644,-0.011461470176513215,-0.008558624727273687,0.057619104155009704,-0.012,-0.106,0.017
201645,0.034665539472224255,0.19901482291835765,0.043408178720534825,0.034,-0.026,-0.027
201646,0.024689879794902374,-0.0334830496831785,0.048717320078703066,0.025,-0.087,0.06
201647,-0.008589027179208697,-0.02223609521480125,0.08353203943294865,-0.009,-0.069,0.081
201648,0.013036498374135175,0.22042423978177828,0.2166615024142859,0.013,0.197,0.008
201649,0.01513931476883487,0.1566572334879418,-0.055996127995523205,0.015,-0.039,0.005
201650,0.006612062438600368,0.052073807770643576,0.09461790320572969,0.007,0.006,0.063
201651,0.09756035093688609,-0.0319629370419527,0.40387023565502567,0.097,-0.053,0.243
201652,0.11338726264698377,0.013581134834484934,0.09622078510800235,0.075,-0.066,-0.023
201701,-0.04247419775730114,0.11040072296049891,-0.2054007904691991,-0.042,0.232,-0.069
201702,-0.08924983069749375,0.17997909045297783,-0.07484744504410339,-0.089,0.057,-0.036
201703,0.12228694089285558,0.07481506634250325,0.09287223626040722,0.122,-0.037,-0.122
201704,-0.00038604116381248284,0.14632894395379908,0.02504673150003017,-0.001,0.044,-0.058
201705,0.12418120057055067,0.22435780299174016,0.06310958475780294,0.124,0.039,0.101
201706,-0.036067316863640876,0.012744607775358022,0.006138947984411586,-0.036,-0.01,-0.051
201707,0.05022801423296104,-0.06802423945036523,0.009694045165650075,0.05,-0.112,-0.028
201708,0.07511845110633994,0.13693658772158138,-0.09059598222778535,0.075,-0.08,0.03
201709,0.11673351554317907,0.03257940556450145,0.050980435734451796,0.116,-0.101,0.039
201710,-0.03379217068804143,0.02720012702887467,0.035971524449208474,-0.033,0.016,0.045
201711,-0.07049280134308938,0.206237947587602,0.3841309888204101,-0.077,0.168,0.383
201712,0.08220632025866499,0.3283746375968354,0.13276694547158047,0.094,0.204,0.32
201713,0.11203838935892797,0.22898801143009453,-0.0337540968821433,0.113,0.211,0.356
201714,0.04448382205468862,0.18245145591923007,-0.19223173905157212,0.063,0.099,-0.188
201715,0.029232441826484705,0.17862446019851835,0.03959319091459589,0.025,0.18,-0.015
201716,0.04020685335421286,0.2841232390843127,-0.14167788974104725,0.041,0.219,-0.13
201717,0.17692214299419978,0.0693215345000916,0.011647565112772096,0.178,-0.01,-0.079
201718,0.30592293657225234,0.1336196311031157,0.1588022260095788,0.301,-0.018,0.152
201719,0.17529430049635286,0.08614694595439559,0.24911917487079516,0.174,0.066,0.16
201720,0.2970125624146726,0.1632944993811984,0.28576304264482905,0.299,0.172,0.15
201721,-0.04399073488487275,0.22217181305306732,-0.23761323787151573,-0.037,0.14,-0.147
201722,0.31771209341486856,0.38934512776123487,0.10759912186216888,0.322,0.387,0.244
201723,0.21927832085521573,0.301925121082535,0.19610280051441015,0.219,0.335,0.249
201724,0.004198960212905614,0.07935185602228634,-0.05484144252206227,0.0,0.182,-0.025
201725,-0.03794775111461451,0.31119872360272477,-0.06227957486020669,-0.038,0.303,-0.119
201726,-0.1275971194450918,0.1052203477883355,0.046143084953784066,-0.125,0.116,-0.034
201727,-0.003405853067452764,0.05151906655767645,0.038885492246320014,-0.003,0.006,0.036
201728,-0.27536374621945064,0.11488135139523428,0.010877772393623211,-0.272,0.117,0.011
201729,0.3783786814089729,0.09100446693818215,-0.3923936890960179,0.372,0.036,-0.429
201730,-0.0773551819224457,-0.08774504046369686,0.051750516268054075,-0.076,-0.11,0.037
201731,0.20378567522789354,0.00520498743634823,-0.08018659965670427,0.201,0.053,0.004
