week,n,q1,q2,q3,q4,q5,hl,to_long,to_short,turnover,cost,hl_net
201521,25,0.01507658225290498,0.02375455557167599,0.2857882656220442,0.25888400743679874,-0.03674889864774979,-0.05182548090065477,1.0,1.0,1.0,0.007,-0.05882548090065477
201522,28,0.05095683558767782,-0.035460702675904586,-0.06916569098213828,-0.08509795817943798,-0.10435699257999646,-0.15531382816767428,0.9425676213373736,0.9941103038924425,0.968338962614908,0.013601855190622045,-0.16891568335829632
201523,29,-0.00845515311478784,0.01285527690916053,-0.029486089235210705,0.005488474860276815,0.1992801010779925,0.20773525419278033,0.6864470676325627,0.12818069055537978,0.4073138790939712,0.005108271366378283,0.20262698282640204
201524,30,0.14423035681663401,0.14173475328270463,0.09134250369776123,0.2878013735207103,-0.16973913865267132,-0.3139694954693053,0.8211868355090991,0.9197766363793144,0.8704817359442067,0.012784144425738699,-0.326753639895044
201525,33,-0.03247220838405283,-0.023784980533485066,-0.06217005100786184,-0.035810137956598855,0.0746418454222644,0.10711405380631722,0.9953241240803903,0.7322718821569034,0.8637980031186469,0.01183011980173757,0.09528393400457966
201526,31,-0.006573698120267784,0.05926312632616699,0.07507029336261704,0.1577220455124367,0.1266761844599314,0.13324988258019918,0.027777084614438292,0.7575931904280376,0.39268513752123796,0.006402914439697312,0.12684696814050186
201527,34,-0.03940457913924557,0.029405044680669047,0.0066486495119397054,0.04779816426738923,0.08524288648321238,0.12464746562245795,0.02497394604265103,0.3289562166355651,0.17696508133910807,0.003147846855543968,0.12149961876691398
201528,31,-0.04097720471834495,-0.09166283123230595,0.11309895014407029,0.05610162785913529,-0.28736869326179354,-0.24639148854344858,0.5229229561515837,0.3402735551634117,0.43159825565749765,0.006478949615232781,-0.2528704381586814
201529,31,-0.011810114722735413,-0.1038805857513772,-0.09133084315465861,-0.004439288944502453,-0.030562743695666302,-0.01875262897293089,1.0,0.17576537644881515,0.5878826882244076,0.007417906626379771,-0.02617053559931066
201530,32,0.11760784843798529,0.061881338726135826,0.168458710294061,0.04559587063805508,0.08816925578522629,-0.029438592652759,0.9990657125013331,0.9836586229386634,0.9913621677199982,0.013864350461847542,-0.04330294311460654
201531,32,-0.08950760198601174,-0.05141711987656229,-0.03662907593869988,-0.027666005953784514,-0.08260953398966606,0.00689806799634568,0.9742843808723212,0.9802835252077188,0.9772839530400199,0.013654879552564704,-0.006756811556219024
201532,31,-0.015126065738174007,-0.0756710667454606,-0.1152745892470203,-0.05137904617459375,-0.07498258440872747,-0.059856518670553464,0.05692104335109368,0.683187629214441,0.37005433628276735,0.005852877461412345,-0.0657093961319658
201533,25,-0.17010095461601746,-0.23794770889619532,-0.14891409015036042,-0.08822332423109758,-0.20099199748900068,-0.03089104287298322,0.8784429543984685,1.0,0.9392214771992342,0.013342787338338687,-0.044233830211321906
201535,25,0.028874486647528067,-0.04702973855264423,0.03184659723744363,-0.0196004441382125,0.015577319366861169,-0.013297167280666898,1.0,0.9714152003432593,0.9857076001716296,0.013772753753779104,-0.027069921034446002
201536,28,0.04854217537954516,0.010991746571190474,0.13417539718574212,0.03319738042302087,-0.07060769243526224,-0.11914986781480741,0.9969521949432099,0.9661502727713509,0.9815512338572804,0.013712971360470023,-0.13286283917527744
201537,26,-0.08798537947844663,-0.024893507595437646,-0.05269257970819142,-0.07152596436541417,-0.038068798883897886,0.049916580594548746,0.9970726187320749,1.0,0.9985363093660374,0.013982435712392449,0.035934144882156294
201539,27,-0.16183942732987677,0.0244986653430686,0.039589695407539066,-0.019770708086515543,-0.0346128013296605,0.12722662600021628,0.9962976058438899,0.08216636279945888,0.5392319843216744,0.006621066935874586,0.1206055590643417
201540,29,-0.02264536858172877,-0.10470398368966329,-0.004161288711300753,0.02876676993296831,-0.11929899768744855,-0.09665362910571978,0.2956144060825433,0.28352567414175384,0.2895700401121486,0.004149323654358306,-0.10080295276007809
201541,28,-0.02208744193710228,-0.029894197803352614,-0.03426023965192005,0.019417558093400258,0.03700356990457483,0.059091011841677116,0.9987536196151139,0.24448192232969138,0.6216177709724027,0.007948377096328216,0.0511426347453489
201542,28,-0.084511679059495,-0.030156517327218902,-0.07676430924245946,-0.11770221168718539,0.05311741995286251,0.1376290990123575,0.03756671139300093,0.8225832715450441,0.4300749914690225,0.0066207440165925256,0.131008354995765
201543,30,0.19729917965459423,0.07990199119497379,-0.0019949663082411036,0.0031439075497249947,0.1441743707856995,-0.05312480886889473,0.034765908956293494,0.8441961448567864,0.43948102690653995,0.006982028444295114,-0.060106837313189845
