week,n,mkt,q1,q5,A_hl,long_leg,short_leg,long_leg_raw,short_leg_raw,B_hl,short_frac,short_frac_w,C_long,C_mkt,roll_sharpe
201510,25,0.0770501591466871,0.020707324570862922,-0.13715913528110726,-0.15786645985197018,-0.21420929442779435,0.056342834575824174,-0.13715913528110726,-0.020707324570862922,,0.0,0.0,,,
201521,25,0.02268921685696982,0.01507658225290498,-0.03674889864774979,-0.05182548090065477,-0.05943811550471961,0.00761263460406484,-0.03674889864774979,-0.01507658225290498,,0.0,0.0,,,
201522,28,-0.037493435076374315,0.05095683558767783,-0.10435699257999649,-0.1553138281676743,-0.06686355750362218,-0.08845027066405214,-0.10435699257999649,-0.05095683558767783,,0.0,0.0,,,
201523,29,0.01354552744652093,-0.00845515311478784,0.1992801010779925,0.20773525419278033,0.18573457363147156,0.022000680561308772,0.1992801010779925,0.00845515311478784,,0.0,0.0,,,
201524,30,0.1092226094086784,0.1442303568166341,-0.16973913865267132,-0.3139694954693054,-0.2789617480613497,-0.0350077474079557,-0.16973913865267132,-0.1442303568166341,,0.0,0.0,,,
201525,33,-0.024141292675232424,-0.032472208384052834,0.07464184542226439,0.10711405380631722,0.09878313809749681,0.00833091570882041,0.07464184542226439,0.032472208384052834,,0.0,0.0,,,
201526,31,0.08049878048479553,-0.0065736981202677795,0.1266761844599314,0.13324988258019918,0.04617740397513587,0.08707247860506331,0.1266761844599314,0.0065736981202677795,,0.0,0.0,,,
201527,34,0.05104409486179027,-0.03940457913924557,0.08524288648321236,0.12464746562245793,0.034198791621422094,0.09044867400103584,0.08524288648321236,0.03940457913924557,,0.0,0.0,,,
201528,31,0.022049550138588978,-0.04097720471834495,-0.2873686932617936,-0.24639148854344864,-0.3094182434003826,0.06302675485693393,-0.2873686932617936,0.04097720471834495,,0.0,0.0,,,
201529,31,-0.03740757079356827,-0.011810114722735411,-0.030562743695666302,-0.01875262897293089,0.0068448270979019656,-0.025597456070832858,-0.030562743695666302,0.011810114722735411,,0.0,0.0,,,
201530,32,0.05581173353716866,0.11760784843798529,0.0881692557852263,-0.029438592652758985,0.032357522248057644,-0.06179611490081663,0.0881692557852263,-0.11760784843798529,,0.0,0.0,,,
201531,32,-0.031381104081348345,-0.08950760198601175,-0.08260953398966606,0.006898067996345694,-0.05122842990831771,0.058126497904663406,-0.08260953398966606,0.08950760198601175,,0.0,0.0,,,
201532,31,-0.05296444233275573,-0.015126065738174002,-0.07498258440872745,-0.059856518670553444,-0.022018142075971713,-0.03783837659458173,-0.07498258440872745,0.015126065738174002,,0.0,0.0,,,
201533,25,-0.14428261709239495,-0.17010095461601746,-0.20099199748900065,-0.030891042872983193,-0.056709380396605696,0.025818337523622503,-0.20099199748900065,0.17010095461601746,,0.0,0.0,,,
201535,25,0.013918124582764578,0.028874486647528078,0.015577319366861169,-0.013297167280666908,0.0016591947840965907,-0.0149563620647635,0.015577319366861169,-0.028874486647528078,,0.0,0.0,,,
201536,28,0.033624301681832516,0.048542175379545166,-0.07060769243526221,-0.11914986781480738,-0.10423199411709473,-0.01491787369771265,-0.07060769243526221,-0.048542175379545166,,0.0,0.0,,,
201537,26,-0.042881285349801276,-0.08798537947844662,-0.03806879888389789,0.049916580594548725,0.004812486465903383,0.04510409412864534,-0.03806879888389789,0.08798537947844662,,0.0,0.0,,,
201539,27,0.00973266782425808,-0.16183942732987674,-0.03461280132966049,0.12722662600021625,-0.04434546915391857,0.17157209515413482,-0.03461280132966049,0.16183942732987674,,0.0,0.0,,,
201540,29,0.022082187334606186,-0.022645368581728772,-0.1192989976874485,-0.09665362910571973,-0.14138118502205468,0.044727555916334955,-0.1192989976874485,0.022645368581728772,,0.0,0.0,,,
201541,28,0.03177300758425403,-0.02208744193710228,0.03700356990457484,0.059091011841677116,0.005230562320320806,0.05386044952135631,0.03700356990457484,0.02208744193710228,,0.0,0.0,,,
201542,28,0.041431275325424836,-0.08451167905949498,0.0531174199528625,0.13762909901235748,0.011686144627437667,0.12594295438491981,0.0531174199528625,0.08451167905949498,,0.0,0.0,,,
201543,30,0.1405552962512597,0.19729917965459412,0.14417437078569953,-0.05312480886889459,0.0036190745344398256,-0.056743883403334416,0.14417437078569953,-0.19729917965459412,,0.0,0.0,,,
201544,29,0.33074914515958415,0.08303584578559127,0.34350776482366685,0.2604719190380756,0.012758619664082704,0.2477132993739929,0.34350776482366685,-0.08303584578559127,,0.0,0.0,,,
201545,26,-0.23995409383157987,-0.1268413028946074,-0.2440748647295017,-0.1172335618348943,-0.004120770897921844,-0.11311279093697246,-0.2440748647295017,0.1268413028946074,,0.0,0.0,,,
201546,25,0.07521260585708665,0.06781585905566385,0.12139329424266343,0.053577435186999575,0.046180688385576776,0.007396746801422799,0.12139329424266343,-0.06781585905566385,,0.0,0.0,,,
201547,27,-0.018283203976447632,0.012553311075852797,-0.1119681219218206,-0.12452143299767339,-0.09368491794537297,-0.03083651505230043,-0.1119681219218206,-0.012553311075852797,,0.0,0.0,,,
201548,26,0.08451523557204361,-0.04112061128050974,0.05157447384698738,0.09269508512749712,-0.032940761725056236,0.12563584685255336,0.05157447384698738,0.04112061128050974,,0.0,0.0,,,
201549,27,0.17905149879411494,0.00964290117900093,0.16213114215151034,0.1524882409725094,-0.016920356642604606,0.169408597615114,0.16213114215151034,-0.00964290117900093,,0.0,0.0,,,
201550,30,0.07524706176409421,0.20825141352958323,0.07621845676567575,-0.13203295676390747,0.0009713950015815404,-0.13300435176548903,0.07621845676567575,-0.20825141352958323,,0.0,0.0,,,
201551,29,-0.03150470548317528,-0.05757946904148829,-0.028694303419801087,0.028885165621687206,0.0028104020633741914,0.026074763558313015,-0.028694303419801087,0.05757946904148829,,0.0,0.0,,,
201552,31,-0.02391338462189483,-0.027159602199561206,-0.026749577186479762,0.00041002501308144354,-0.002836192564584932,0.0032462175776663757,-0.026749577186479762,0.027159602199561206,,0.0,0.0,,,
201601,32,0.06004029762647392,0.013564360530936685,-0.029433629602314704,-0.04299799013325139,-0.08947392722878862,0.04647593709553724,-0.029433629602314704,-0.013564360530936685,,0.0,0.0,,,
201602,30,-0.054253715120082646,0.11243239193604941,0.46061038546918703,0.3481779935331376,0.5148641005892697,-0.16668610705613207,0.46061038546918703,-0.11243239193604941,,0.0,0.0,,,
201603,30,-0.04132673524257549,-0.051591146141436235,0.2189297062939904,0.2705208524354266,0.2602564415365659,0.010264410898860744,0.2189297062939904,0.051591146141436235,,0.0,0.0,,,
201604,31,-0.04736955555652837,0.16924282258202372,0.4484009428601542,0.2791581202781305,0.4957704984166826,-0.2166123781385521,0.4484009428601542,-0.16924282258202372,,0.0,0.0,,,
201605,38,0.024578882299304206,0.024217905331327647,-0.01954994311502695,-0.0437678484463546,-0.044128825414331156,0.000360976967976559,-0.01954994311502695,-0.024217905331327647,,0.0,0.0,,,
201606,40,0.021117814328981112,-0.1687945243150065,0.6497069527835942,0.8185014770986008,0.6285891384546132,0.1899123386439876,0.6497069527835942,0.1687945243150065,,0.0,0.0,,,
201607,44,0.08136062496664997,0.07729087229350602,-0.14770387032660268,-0.2249947426201087,-0.22906449529325265,0.004069752673143953,-0.14770387032660268,-0.07729087229350602,,0.0,0.0,,,
201608,46,0.02363920598387113,0.021435028309259575,0.17035760756660334,0.14892257925734376,0.14671840158273222,0.0022041776746115557,0.17035760756660334,-0.021435028309259575,,0.0,0.0,,,
201609,45,0.029147819584926023,-0.07752798057374971,0.5083151542339482,0.585843134807698,0.4791673346490222,0.10667580015867573,0.5083151542339482,0.07752798057374971,,0.0,0.0,,,
201610,46,0.017916031797507573,0.029765209090911165,0.208290467716087,0.17852525862517585,0.19037443591857944,-0.011849177293403592,0.208290467716087,-0.029765209090911165,,0.0,0.0,,,
201611,50,0.003894035862958369,-0.004380449875870833,-0.02433798942740344,-0.019957539551532608,-0.02823202529036181,0.008274485738829203,-0.02433798942740344,0.004380449875870833,,0.0,0.0,-0.029213451983679074,0.002988178663642724,
201612,52,-0.005265910384153639,-0.023697288464284438,0.020581311661712506,0.04427860012599694,0.025847222045866144,0.0184313780801308,0.020581311661712506,0.023697288464284438,,0.0,0.0,-0.020682309639455727,-0.006087566001387992,
201613,57,-0.0022426623335270314,0.033552439046802746,-0.0617940484093373,-0.09534648745614005,-0.059551386075810266,-0.03579510138032978,-0.0617940484093373,-0.033552439046802746,,0.0,0.0,-0.16580155428240045,-0.002598226733331015,
201614,57,-0.0040889957164028795,-0.07179177713069859,-0.09865836820026995,-0.026866591069571358,-0.09456937248386707,0.06770278141429571,-0.09865836820026995,0.07179177713069859,,0.0,0.0,-0.1856666676852403,-0.005188727233290326,
201615,55,-0.019031784042918873,-0.019541089301935516,-0.17426178251076233,-0.1547206932088268,-0.15522999846784347,0.000509305259016643,-0.17426178251076233,0.019541089301935516,,0.0,0.0,-0.1811290372847874,-0.019059641038610853,
201616,54,0.05231079100309709,0.016949116026580953,0.05804483197737898,0.04109571595079803,0.005734040974281894,0.035361674976516135,0.05804483197737898,-0.016949116026580953,,0.0,0.0,0.05890400415213045,0.05293203103156008,
201617,53,-0.012881569923174565,-0.09854559159670778,-0.004912820706406618,0.09363277089030117,0.007968749216767948,0.08566402167353322,-0.004912820706406618,0.09854559159670778,,0.0,0.0,-0.06706427978053167,-0.012139855564897453,
201618,53,0.021721493296390185,0.3433684231248478,-0.002919048782952788,-0.34628747190780057,-0.02464054207934297,-0.3216469298284576,-0.002919048782952788,-0.3433684231248478,,0.0,0.0,-0.02184741545483887,0.021605690212520123,
201619,51,0.014655696287448781,-0.0004034184056395701,0.02362308873416474,0.02402650713980431,0.008967392446715959,0.01505911469308835,0.02362308873416474,0.0004034184056395701,,0.0,0.0,0.02407872149216828,0.014799189876143457,
201620,50,0.015068072693706564,-0.007102717128219657,0.01635907971561294,0.023461796843832594,0.0012910070219063745,0.02217078982192622,0.01635907971561294,0.007102717128219657,,0.0,0.0,0.4350646787377243,0.015184186463636114,
201621,49,0.004976554105713765,-0.09523058337493251,-0.1466512988778386,-0.051420715502906084,-0.15162785298355236,0.10020713748064627,-0.1466512988778386,0.09523058337493251,,0.0,0.0,-0.1533883140768552,0.003658250978804577,1.160993935326637
201622,50,0.16695009642129474,0.03402405098031728,0.09689123909652506,0.06286718811620778,-0.07005885732476969,0.13292604544097747,0.09689123909652506,-0.03402405098031728,,0.0,0.0,0.1092251457922142,0.16963129898415347,1.326137801040736
201623,50,0.06248793596318291,0.06246961874709078,0.06661310690168211,0.004143488154591327,0.004125170938499199,1.8317216092127164e-05,0.06661310690168211,-0.06246961874709078,,0.0,0.0,0.06836934062052892,0.062397209019429065,1.3676941536327853
201624,51,0.3338294506475338,0.23590943770538828,0.22689011388605027,-0.00901932381933801,-0.10693933676148351,0.0979200129421455,0.22689011388605027,-0.23590943770538828,,0.0,0.0,0.29422386062553135,0.33593149711616904,1.483657920773335
201625,55,-0.199375702382263,-0.1267667071542896,-0.2012860992130084,-0.07451939205871883,-0.0019103968307454255,-0.0726089952279734,-0.2012860992130084,0.1267667071542896,,0.0,0.0,0.088575491677794,-0.19972742839198102,1.289138169727177
201626,56,0.06673024795944398,0.046521014801523,0.23109800010426707,0.18457698530274408,0.16436775214482308,0.020209233157920975,0.23109800010426707,-0.046521014801523,,0.0,0.0,0.601099129281089,0.06668740313713782,1.6897547304585452
201627,57,-0.06043268322868237,-0.18422856124873943,-0.2275138013151414,-0.04328524006640197,-0.16708111808645904,0.12379587802005707,-0.2275138013151414,0.18422856124873943,,0.0,0.0,-0.27525223137438903,-0.06150314852319769,1.5783429119353003
201628,60,0.058192706999100285,0.13236525020423362,2.2635481255141654,2.131182875309932,2.2053554185150652,-0.07417254320513333,2.2635481255141654,-0.13236525020423362,,0.0,0.0,0.04489751807239315,0.03615757909567819,1.664809525905769
201629,61,0.014799288017851629,0.015865019470997936,-0.06234227369744903,-0.07820729316844696,-0.07714156171530066,-0.0010657314531463073,-0.06234227369744903,-0.015865019470997936,,0.0,0.0,-0.06750734826989795,0.014420951022794682,1.5807264270125991
201630,62,-0.020386420236470585,-0.011829060233587494,-0.17556115821272697,-0.16373209797913948,-0.1551747379762564,-0.008557360002883091,-0.17556115821272697,0.011829060233587494,,0.0,0.0,-0.18404492718622875,-0.020129057544634035,1.619918402315629
201631,59,-0.11666162151411986,-0.13859786071065192,-0.011785596218371166,0.12681226449228075,0.1048760252957487,0.02193623919653205,-0.011785596218371166,0.13859786071065192,,0.0,0.0,-0.015139729207536989,-0.117138866944615,1.6793166771340193
201633,62,-0.02438700886910715,-0.025628165697436322,0.14240670561495575,0.16803487131239206,0.16679371448406288,0.0012411568283291728,0.14240670561495575,0.025628165697436322,,0.0,0.0,0.11262441937433011,-0.02525249462700124,1.7593269994412428
201634,56,0.00331463269615736,-0.15769488970804152,0.03511012051153414,0.19280501021957566,0.031795487815376784,0.16100952240419888,0.03511012051153414,0.15769488970804152,,0.0,0.0,0.08107177453076059,0.0033743675646666716,1.833207158674225
201635,59,-7.96790499046954e-05,-0.10157761869518638,0.27431083838204573,0.3758884570772321,0.2743905174319504,0.10149793964528168,0.27431083838204573,0.10157761869518638,,0.0,0.0,0.31505068482383974,-0.0005920561396992399,1.9986933034464793
201637,72,-0.018481943942744907,-0.00039039316761117,-0.22370835765619876,-0.2233179644885876,-0.20522641371345385,-0.018091550775133736,-0.22370835765619876,0.00039039316761117,,0.0,0.0,-0.2490666551662218,-0.02041708110068545,1.9086249822231658
201644,71,-0.011442187763290328,-0.11073734809201169,0.0003915890230882307,0.11112893711509993,0.011833776786378558,0.09929516032872136,0.0003915890230882307,0.11073734809201169,,0.0,0.0,0.0005237061986471552,-0.010984936690039372,1.959747479541084
201646,67,0.024851386504405038,0.011501138100935226,0.035251653980773866,0.02375051587983864,0.010400267476368828,0.013350248403469812,0.035251653980773866,-0.011501138100935226,,0.0,0.0,0.035307893853049964,0.0251115737329345,2.0232015434251824
201649,66,0.014794476308897119,-0.02268243272724941,0.027511353781466914,0.05019378650871632,0.012716877472569795,0.037476909036146526,0.027511353781466914,0.02268243272724941,,0.0,0.0,0.019427036572831357,0.015004922972334134,2.0233163165370565
201650,68,0.00635568661096213,0.020453594378186862,0.008478675805959932,-0.01197491857222693,0.0021229891949978022,-0.014097907767224731,0.008478675805959932,-0.020453594378186862,,0.0,0.0,0.008425954520053786,0.006420890692242643,1.9661384521521275
201651,67,0.09605287925685195,0.03820873651090507,0.07433566089647235,0.036126924385567284,-0.021717218360379598,0.05784414274594688,0.07433566089647235,-0.03820873651090507,,0.0,0.0,0.09140836511683971,0.09720960044127415,2.0245016573704375
201652,66,0.11417117472535987,0.06548019868820802,0.11380833583444123,0.04832813714623321,-0.00036283889091863475,0.04869097603715185,0.11380833583444123,-0.06548019868820802,,0.0,0.0,0.11399583673710441,0.11498784072288686,2.0200508462587794
201701,68,-0.04237355750099815,0.028246868966350182,-0.055125143840919516,-0.08337201280726969,-0.012751586339921364,-0.07062042646734834,-0.055125143840919516,-0.028246868966350182,,0.0,0.0,-0.05508398688856483,-0.042741818101856094,1.927133252534422
201702,67,-0.08936479863761108,0.010966633213161896,-0.054939134871522494,-0.06590576808468439,0.03442566376608859,-0.10033143185077298,-0.054939134871522494,-0.010966633213161896,,0.0,0.0,-0.05323659490790972,-0.09007562199877549,1.9214388919499525
201703,74,0.12221970275840403,0.12436165290147018,0.00768940387971974,-0.11667224902175044,-0.1145302988786843,-0.002141950143066146,0.00768940387971974,-0.12436165290147018,,0.0,0.0,-0.0075627358893945364,0.12187134144439798,1.76944924044939
201704,81,-0.0002216599264815394,-0.005271348821203542,0.12694331356551902,0.13221466238672255,0.12716497349200057,0.005049688894722003,0.12694331356551902,0.005271348821203542,,0.0,0.0,0.2052293684966735,-0.001055113434463633,1.8747172827722232
201705,84,0.12406384746912097,0.03992334704794032,0.18766121689051699,0.14773786984257667,0.06359736942139602,0.08414050042118065,0.18766121689051699,-0.03992334704794032,,0.0,0.0,0.3593760464484337,0.12469978944832974,1.912006923470838
201706,87,-0.03593790270959226,-0.024368584410746748,-0.0708627585157009,-0.04649417410495415,-0.034924855806108636,-0.011569318298845513,-0.0708627585157009,0.024368584410746748,,0.0,0.0,-0.11112841410548857,-0.03584787942343474,1.9475338396268733
201707,86,0.0503571180906419,-0.08252010112513339,0.1162383761205597,0.1987584772456931,0.0658812580299178,0.13287721921577528,0.1162383761205597,0.08252010112513339,,0.0,0.0,0.1280596940357145,0.051170987850860404,1.988183215331504
201708,89,0.0749568621728051,0.0012713766880216941,0.07947661548662752,0.07820523879860582,0.004519753313822414,0.0736854854847834,0.07947661548662752,-0.0012713766880216941,,0.0,0.0,0.08193578492539577,0.0755128303509635,1.9589940604274962
201709,91,0.11664716020316668,0.027229428304400387,0.11892248704235829,0.09169305873795791,0.002275326839191613,0.08941773189876628,0.11892248704235829,-0.027229428304400387,,0.0,0.0,0.11901352003238012,0.11736407228124753,2.0571317985547446
201710,94,-0.03372339933863623,-0.05342673111995391,-0.03527037685211721,0.018156354267836704,-0.001546977513480978,0.01970333178131768,-0.03527037685211721,0.05342673111995391,,0.0,0.0,0.12326600955258107,-0.03385926337633322,2.052556061304015
201711,88,-0.07052742955217672,0.2008148309780713,0.5197585083356346,0.31894367735756335,0.5902859378878114,-0.271342260530248,0.5197585083356346,-0.2008148309780713,,0.0,0.0,0.538081854523235,-0.0715243282716837,2.173739703146455
201712,93,0.08151941185700057,0.0002651422390347673,0.044783040809302524,0.04451789857026776,-0.036736371047698044,0.0812542696179658,0.044783040809302524,-0.0002651422390347673,,0.0,0.0,0.023013846319878635,0.08037716341281087,2.212048185925041
201713,108,0.11008178521978965,0.11342826612550484,0.09586514563384153,-0.01756312049166331,-0.014216639585948113,-0.003346480905715196,0.09586514563384153,-0.11342826612550484,,0.0,0.0,0.09836741114232558,0.10787946389048454,2.073329478832158
201714,120,0.0447353765334958,-0.008390816845277663,0.17928069863619034,0.187671515481468,0.13454532210269454,0.053126193378773466,0.17928069863619034,0.008390816845277663,,0.0,0.0,0.18046107755675028,0.04430783706164217,2.04366975607602
201715,124,0.031035577523354514,0.1026875073498041,0.002084399853413346,-0.10060310749639076,-0.028951177669941167,-0.07165192982644958,0.002084399853413346,-0.1026875073498041,,0.0,0.0,0.42142236036796205,0.02820347106649818,1.8901536772280216
201716,131,0.04510759620413029,0.08061782772150779,-0.07213063783639063,-0.15274846555789842,-0.11723823404052092,-0.0355102315173775,-0.07213063783639063,-0.08061782772150779,,0.0,0.0,0.07594304637850839,0.04425346229183475,1.8400648839441878
201717,143,0.17601595700109535,0.5099078034350636,0.32029717983241796,-0.18961062360264563,0.1442812228313226,-0.33389184643396824,0.32029717983241796,-0.5099078034350636,,0.0,0.0,0.34605562428743736,0.1763609882348979,1.4950791255745652
201718,155,0.30652574387893744,0.1648695109489533,0.5003767524708934,0.3355072415219401,0.19385100859195598,0.14165623292998414,0.5003767524708934,-0.1648695109489533,,0.0,0.0,0.5195586327566658,0.3065346609787133,1.7326345705076067
201719,163,0.1758721608327661,0.0274071076479623,0.7292131395179783,0.701806031870016,0.5533409786852121,0.1484650531848038,0.7292131395179783,-0.0274071076479623,,0.0,0.0,0.7633295959543532,0.17657887689103657,1.901213932317441
201720,175,0.2968681367574543,0.16436324403643934,0.21545342820770041,0.05109018417126107,-0.08141470854975391,0.13250489272101498,0.21545342820770041,-0.16436324403643934,,0.0,0.0,0.6158146469507809,0.29722924380703436,1.7208191851625807
201721,184,-0.04426423564343206,-0.11878632895800828,0.16267062317182504,0.28145695212983335,0.20693485881525708,0.07452209331457622,0.16267062317182504,0.11878632895800828,,0.0,0.0,0.20634227024153906,-0.044788946381149594,1.7587309206707562
201722,193,0.3135987436817803,0.3694282605688393,0.4202109618560773,0.050782701287238,0.106612218174297,-0.055829516887059005,0.4202109618560773,-0.3694282605688393,,0.0,0.0,0.4197637685658732,0.31025747515958046,1.789425483334943
201723,217,0.22068155736665682,0.1531347909926595,0.08829555028897207,-0.06483924070368743,-0.13238600707768475,0.06754676637399731,0.08829555028897207,-0.1531347909926595,,0.0,0.0,0.08220861371131086,0.21948900589592726,1.7412645594743323
201724,228,0.0045539286515431585,0.019974769063950484,0.10423915880784984,0.08426438974389935,0.09968523015630668,-0.015420840412407325,0.10423915880784984,-0.019974769063950484,,0.0,0.0,0.10843773155226193,0.004894818888312901,1.8203999348172368
201725,229,-0.03784361346920876,0.00680471636366796,-0.11801280037226883,-0.12481751673593679,-0.08016918690306007,-0.04464832983287672,-0.11801280037226883,-0.00680471636366796,,0.0,0.0,-0.12148655044419202,-0.03924409102905165,1.7750379287736189
201726,241,-0.12514235502377202,-0.2085126095908671,-0.1952564871052648,0.01325612248560229,-0.07011413208149278,0.08337025456709507,-0.1952564871052648,0.2085126095908671,,0.0,0.0,-0.20620399682887575,-0.12537611275870938,1.8527478786930522
201727,249,-0.002590987398933565,-0.03855383042842356,-0.012565086827776621,0.025988743600646937,-0.009974099428843057,0.035962843029489995,-0.012565086827776621,0.03855383042842356,,0.0,0.0,-0.03293134525268474,-0.0026038796304113853,1.8462305085942683
201728,252,-0.27497745284107894,-0.38318467595811345,-0.309825303625309,0.07335937233280443,-0.03484785078423008,0.10820722311703451,-0.309825303625309,0.38318467595811345,,0.0,0.0,-0.2355018814804472,-0.2748904724358655,1.8378152537130448
201729,260,0.37548872924245236,0.3966531841901567,0.2150946571143265,-0.18155852707583023,-0.16039407212812587,-0.02116445494770436,0.2150946571143265,-0.3966531841901567,,0.0,0.0,0.250722418459945,0.3753359802718109,1.9256748445559617
201730,269,-0.07770141375997307,-0.12106416578474535,-0.051569761578362634,0.06949440420638273,0.026131652181610433,0.043362752024772286,-0.051569761578362634,0.12106416578474535,,0.0,0.0,-0.2653826576469798,-0.07671637746668096,1.945378756548122
201731,279,0.2014352215592115,0.1643242258539322,0.20171190062683808,0.03738767477290589,0.0002766790676265729,0.037110995705279315,0.20171190062683808,-0.1643242258539322,,0.0,0.0,0.2060942547243608,0.20173987518147593,1.9514986109978307
201732,287,0.17800367379534704,0.09897865316910728,0.22132083165216576,0.12234217848305848,0.04331715785681872,0.07902502062623976,0.22132083165216576,-0.09897865316910728,,0.0,0.0,0.22343890264758873,0.1782120827646401,2.0278111818654967
201733,301,0.07960681076910478,-0.102885445590046,0.08126283079025412,0.18414827638030012,0.0016560200211493403,0.18249225635915078,0.08126283079025412,0.102885445590046,,0.0,0.0,0.1076565672855135,0.07999754577516323,2.0773757042209215
201734,306,0.0718707869846566,0.10099886141779638,0.0328200131185445,-0.06817884829925187,-0.039050773866112096,-0.029128074433139778,0.0328200131185445,-0.10099886141779638,,0.0,0.0,0.03242094825038376,0.07091224092202136,2.0436933015667833
