target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
108,201604,32,12,0 1 6 7 9 13 19 21 23 25 26 27,0.0019035589139393427,-4530.50744881766,1390
109,201605,39,11,0 1 6 7 9 13 21 23 25 26 27,0.0025138124384488443,-4361.3406059492,1398
110,201606,40,10,1 6 7 13 18 21 23 25 26 27,0.004169422923265259,-4414.065784424212,1415
111,201607,45,11,7 9 12 13 17 18 21 23 25 26 27,0.0020839239987237466,-4454.714400527445,1434
112,201608,49,10,7 8 12 13 17 18 21 23 25 26,0.0019166029259358552,-4530.886789125602,1455
113,201609,50,11,7 8 9 12 13 17 18 21 23 25 26,0.0011653730924806446,-4614.254437031161,1478
114,201610,47,9,3 7 8 13 17 18 21 24 26,0.003928512853344407,-4748.620236724113,1499
115,201611,52,3,7 8 14,0.013706538640193621,-4611.090807506839,1520
116,201612,54,7,3 7 8 13 17 21 26,0.007401840197418017,-4517.4382208846355,1546
117,201613,58,8,3 7 8 13 17 21 24 26,0.005140418271113951,-4587.24646893914,1576
118,201614,61,6,7 8 13 17 18 26,0.009337151751189977,-4683.309068013514,1611
119,201615,58,5,7 13 17 21 26,0.008364105066588867,-4782.589599127134,1644
120,201616,55,8,3 7 13 17 18 20 21 26,0.0025897736427120573,-4838.858573933979,1676
121,201617,56,8,3 7 13 17 20 22 23 26,0.004296425939981879,-4842.460597982735,1708
122,201618,54,8,3 7 13 17 20 21 22 26,0.004485406502948773,-4938.490692910258,1738
123,201619,53,8,3 8 13 17 20 21 22 26,0.005860727302053205,-5047.90787619737,1769
124,201620,53,8,3 7 8 13 17 20 21 26,0.004441388796531714,-5148.095360940309,1797
125,201621,51,7,3 13 15 17 20 24 26,0.00369829715075144,-5328.674211054293,1824
126,201622,50,8,3 13 15 17 20 24 26 27,0.002333465931930728,-5407.735217553716,1848
127,201623,52,8,3 8 13 15 17 20 24 26,0.0037574316841853276,-5477.711831440791,1870
128,201624,52,11,1 3 7 8 13 15 17 18 20 24 26,0.0020490234480563174,-5673.922529148916,1891
129,201625,57,8,1 3 13 17 20 24 25 26,0.004245146403981553,-5549.946965094153,1912
130,201626,56,7,1 8 13 17 20 25 26,0.004826354718814045,-5604.418456982558,1934
131,201627,59,6,1 13 17 25 26 27,0.003979447770477351,-5634.156198965244,1959
132,201628,60,9,1 8 10 13 17 22 25 26 27,0.004456165704262964,-5670.048640877508,1982
133,201629,62,12,1 3 9 10 13 15 17 20 22 25 26 27,0.00398603408084715,-4255.230929452817,2011
134,201630,66,12,1 3 9 10 13 15 17 20 22 25 26 27,0.003690892071841855,-4327.48939190742,2041
135,201631,64,12,1 3 9 10 13 15 17 20 22 25 26 27,0.0034258369479082565,-4419.509420234839,2071
136,201632,61,0,,0.03106160208512038,-4498.436665939514,2098
137,201633,66,11,1 3 9 10 13 15 17 20 22 25 26,0.0032900791252798685,-4574.688928965831,2126
138,201634,66,11,1 3 9 10 13 15 17 20 22 25 26,0.0035392902961117745,-4672.09963622748,2163
139,201635,59,11,1 3 9 10 13 15 17 20 22 25 26,0.002813783811417063,-4757.12348841675,2195
140,201636,66,0,,0.031675187416058556,-4838.657683052947,2229
141,201637,76,4,9 13 15 22,0.01366966250730508,-4859.53043151174,2266
142,201638,75,0,,0.03288404412692677,-4951.251497487107,2312
143,201639,77,0,,0.02992841870107907,-5107.523627732178,2363
144,201640,77,0,,0.02934134722255418,-5246.284533107325,2409
145,201641,78,0,,0.027803728812639258,-5386.572904817901,2455
146,201642,78,0,,0.032427525142289915,-5479.123470936834,2503
147,201643,79,0,,0.031164159312248772,-5611.912589677324,2549
148,201644,81,1,3,0.027639254630071674,-5756.6010933237485,2592
149,201645,75,0,,0.03295672838272843,-5896.00366573764,2634
150,201646,71,1,26,0.027920607117118502,-6020.464090633992,2676
151,201647,72,0,,0.03172089402732771,-6153.407415608331,2718
152,201648,66,0,,0.03353847032423489,-6269.910008348843,2755
153,201649,68,2,22 26,0.019928443425222157,-6169.208016449522,2794
154,201650,72,4,20 22 26 27,0.011781880937931494,-6288.887763030522,2833
155,201651,71,4,20 22 26 27,0.01154722513882051,-6405.9024623196865,2871
156,201652,71,4,20 22 26 27,0.00890555424669774,-6512.667455566121,2909
157,201701,73,4,20 22 26 27,0.00904027143097173,-6607.833950293773,2944
158,201702,68,3,22 26 27,0.01242087659361313,-6690.8328399753755,2980
159,201703,75,4,20 22 26 27,0.0065857788045723354,-6817.3477692744345,3017
160,201704,82,1,22,0.023025812224643664,-6944.364204957215,3061
161,201705,86,2,22 26,0.013239519214158882,-7157.959146704617,3111
162,201706,91,2,22 26,0.014645460808406069,-7249.197936001325,3157
163,201707,92,3,22 26 27,0.0066133410656601145,-7411.951880121428,3204
164,201708,90,3,22 26 27,0.008631133980311278,-7538.782613782812,3246
165,201709,96,3,22 26 27,0.007396646340096817,-7675.8499067219,3289
166,201710,96,2,26 27,0.00695903682029451,-7809.175954607742,3335
167,201711,94,2,26 27,0.011650617860734328,-8046.678491876351,3383
168,201712,93,1,26,0.016114379686992746,-8167.96422786081,3421
169,201713,110,4,16 25 26 27,0.008442778301824647,-8197.27826400509,3462
170,201714,124,10,2 6 13 14 17 20 24 25 26 27,0.0019451786808571245,-8159.957682056123,3513
171,201715,124,1,26,0.018548562139795,-8307.337072786508,3576
172,201716,134,2,25 26,0.010454529815920273,-8470.703260269878,3645
173,201717,144,3,25 26 27,0.013236658291465224,-8308.481771356803,3722
174,201718,158,2,26 27,0.012468257596282414,-8497.535452905831,3812
175,201719,165,3,18 26 27,0.011924396382620014,-8539.36094693377,3914
176,201720,180,3,17 26 27,0.007890501915563737,-8686.947928661919,4026
177,201721,196,2,26 27,0.013671726407466356,-8633.084951500445,4151
178,201722,193,6,2 14 17 20 26 27,0.0022188537346761183,-8845.937806874703,4286
179,201723,218,4,17 21 26 27,0.006837545226448317,-8091.625959472681,4429
180,201724,237,4,17 20 26 27,0.005869473653292061,-8135.428410171745,4596
181,201725,236,3,20 26 27,0.006187134158899485,-8384.434202847795,4773
182,201726,249,3,20 26 27,0.005131217359526713,-8616.849278770174,4947
183,201727,253,3,20 26 27,0.004050476835120882,-9086.23176818705,5132
184,201728,265,4,20 21 26 27,0.00471708127915869,-9395.463734319184,5324
185,201729,264,3,21 26 27,0.006081588791173066,-10706.667654981002,5516
186,201730,286,6,2 14 21 25 26 27,0.002785580369994462,-11096.185371308737,5715
187,201731,282,3,21 26 27,0.004453499860396441,-11666.025629309976,5922
188,201732,295,12,1 2 6 7 10 12 13 14 21 25 26 27,0.0013139679342987268,-12180.061941092888,6142
189,201733,307,8,1 12 14 17 21 25 26 27,0.002419014005712421,-12249.758618267864,6370
190,201734,313,11,1 2 9 10 12 13 14 21 25 26 27,0.001189036166849302,-12795.36520601654,6609
191,201735,322,9,1 9 12 13 14 21 25 26 27,0.002041822242930946,-13312.432998324737,6859
192,201736,336,6,9 13 14 21 26 27,0.002558367570648246,-13634.23763234692,7114
193,201737,344,11,2 7 9 10 12 13 14 21 25 26 27,0.000496750772342407,-14243.707951873363,7374
194,201738,332,9,2 9 10 13 14 21 25 26 27,0.001278797604587633,-14910.489187111556,7627
195,201739,327,9,2 9 10 13 14 21 25 26 27,0.0013138730667115134,-15453.057980784613,7871
196,201740,346,11,1 2 7 9 10 13 14 21 25 26 27,0.000534355970019445,-15929.904254297237,8118
197,201741,359,12,1 2 7 9 10 12 13 14 21 25 26 27,0.0004257504801815227,-16603.219846570948,8382
198,201742,358,6,9 10 13 21 26 27,0.002408631572116332,-17172.08777319873,8648
199,201743,372,6,9 10 13 21 26 27,0.0020756576903351934,-17860.056225643322,8925
200,201744,375,8,9 10 13 14 21 25 26 27,0.0015256674978568702,-18399.317078619828,9213
